survey;station;species;sequence;length;weight;sex;maturity;gonadweight;stomachfullness;stomachweight;otolith;bdep;lon;lat
2012901;3;LUTLU06;1;71;5650;M;3;41;X;0;0;3;38,48333333;18,71666667
2012901;18;LUTLU04;1;30;336;F;2;7;1;33;0;20;38,50183333;18,74333333
2012901;19;LUTLU04;2;36;405;F;2;4;X;0,25;0;21;38,50183333;18,74466667
2012901;19;LUTLU04;1;30;553;M;2;2;X;0,19;0;21;38,50183333;18,74466667
2012901;23;LUTLU06;0;57;2670;M;3;0;X;0;0;10;38,45;18,455
2012901;23;SEREP12;2;77;5900;F;6;19;X;0;0;10;38,45;18,455
2012901;23;SEREP12;1;73;3800;F;6;28;X;0;0;10;38,45;18,455
2012901;28;LETLE13;1;26;250;M;1;0;0;0;0;16;38,44683333;18,4515
2012901;32;LUTLU06;1;36;630;M;2;0;X;0;0;19;38,44433333;18,45116667
2012901;34;LUTLU04;1;30;400;M;3;0;X;0;0;26;38,43883333;18,451
2012901;37;LETLE02;1;31;640;M;1;0,64;X;0;0;66;38,40966667;18,4515
2012901;43;SERPL07;1;50;1630;M;1;3;0;0;0;27;38,397;18,4965
2012901;50;LUTLU00;1;59;2600;M;2;0;X;0,97;0;36;38,13666667;18,78633333
2012901;77;LETLE02;1;31;430;M;3;0;X;0;0;22;37,7665;18,87883333
2012901;77;LETLE02;2;44;1200;F;0;0;X;0;0;22;37,7665;18,87883333
2012901;85;LUTLU06;2;38;800;F;1;0;X;0;0;27;37,707;18,92816667
2012901;85;LUTLU06;1;48;1400;F;2;0;X;0;0;27;37,707;18,92816667
2012901;86;LUTLU06;2;53;2000;M;3;0;X;0;0;25;37,70416667;18,9275
2012901;86;LUTLU06;4;57;2700;M;2;0;X;0;0;25;37,70416667;18,9275
2012901;86;LUTLU06;3;41;740;F;2;0;X;0;0;25;37,70416667;18,9275
2012901;86;LUTLU06;1;58;3100;M;4;0;X;0;0;25;37,70416667;18,9275
2012901;87;SEREP07;1;91;13200;F;6;0;X;0;0;27;37,70083333;18,92883333
2012901;88;LUTLU06;0;51;1800;F;2;0;X;0;0;27;37,698;18,931
2012901;92;HAEDP01;1;49;1500;M;2;0;X;0;0;26;37,71233333;18,92116667
2012901;95;LABCH09;1;31;420;M;1;0;X;0;0;31;38,50183333;18,744
2012901;99;LETLE13;1;38;930;M;2;0;X;0;0;26;37,53683333;18,89933333
2012901;113;CARCA04;9;48;1160;M;1;3;5;15;0;25;37,61683333;19,14883333
2012901;113;CARCA04;16;48;1270;F;1;2;3;18;0;25;37,61683333;19,14883333
2012901;113;CARCA04;15;43;910;F;1;4;3;19;0;25;37,61683333;19,14883333
2012901;113;CARCA04;14;49;1270;F;1;4;0;17;0;25;37,61683333;19,14883333
2012901;113;CARCA04;13;49;1350;F;2;7;0;17;0;25;37,61683333;19,14883333
2012901;113;CARCA04;12;50;1330;F;1;3;5;15;0;25;37,61683333;19,14883333
2012901;113;CARCA04;11;58;2070;F;4;33;0;21;0;25;37,61683333;19,14883333
2012901;113;CARCA04;10;45;1800;M;1;2;0;12;0;25;37,61683333;19,14883333
2012901;113;CARCA04;8;49;1130;M;1;5;0;16;0;25;37,61683333;19,14883333
2012901;113;CARCA04;7;45;910;F;1;4;0;13;0;25;37,61683333;19,14883333
2012901;113;CARCA04;6;49;1180;M;2;6;5;18;0;25;37,61683333;19,14883333
2012901;113;CARCA04;5;51;1340;M;1;2;5;18;0;25;37,61683333;19,14883333
2012901;113;CARCA04;4;44;930;M;1;1;0;15;0;25;37,61683333;19,14883333
2012901;113;CARCA04;3;54;1080;M;1;3;0;16;0;25;37,61683333;19,14883333
2012901;113;CARCA04;2;58;2100;M;3;8;0;25;0;25;37,61683333;19,14883333
2012901;113;CARCA04;1;42;800;M;2;1;0;13;0;25;37,61683333;19,14883333
2012901;116;SEREP07;1;97;14150;M;6;23;5;930;0;25;37,73516667;19,2355
2012901;117;LUTLU06;1;73;5740;M;2;10;0;164;0;35;37,737;19,2355
2012901;120;SERP07;1;99;14160;F;6;38;0;552;0;60;37,72516667;19,23433333
2012901;137;LUTPR04;1;65;3080;M;2;4;6;192;0;54;37,42533333;19,462
2012901;169;LUTLU06;1;64;3650;F;3;29;0;126;0;40;36,9448;21,79743333
2012901;172;LETLE02;1;43;930;M;2;3;0;14;0;36;36,94121667;21,80578333
2012901;174;SERPL07;3;39;960;F;1;0;0;24;0;68;36,94516667;21,822
2012901;174;SERPL07;2;37;740;M;1;0;0;9;0;68;36,94516667;21,822
2012901;174;SERPL07;1;62;2740;F;2;11;0;57;0;68;36,94516667;21,822
2012901;180;LUTLU06;1;64;5490;M;3;0;3;190;0;40;36,95593333;21,94608333
2012901;183;SEREP12;1;64;4710;F;6;11;0;107;0;20;36,88766667;21,793
2012901;189;LETLE10;1;26;370;M;2;0,04;0;40;0;40;36,99833333;21,54183333
2012901;192;HOLSA03;1;37;910;M;1;1;3;12;0;142;36,97503333;21,54706667
2012901;192;HOLSA03;2;39;1030;F;2;4;2;23;0;142;36,97503333;21,54706667
2012901;194;LETLE02;1;37;790;F;1;0;3;50;0;35;36,97166667;21,50466667
2012901;198;LUTLU06;1;36;1140;M;1;3;2;2,5;0;35;37,21576667;21,22363333
2013002;9;LETLE02;2;28;320;F;2;2;4;9;0;25;37,71283333;18,919
2013002;9;LETLE02;3;31,5;450;M;1;0,5;4;6;0;25;37,71283333;18,919
2013002;9;LETLE02;1;27;280;F;3;3;4;7;0;25;37,71283333;18,919
2013002;9;LETLE05;1;37;500;U;0;0;2;4;0;25;37,71283333;18,919
2013002;9;LETLE05;2;35;450;M;1;1;0;3;0;25;37,71283333;18,919
2013002;9;LETLE05;3;34;450;M;2;4;4;9;0;25;37,71283333;18,919
2013002;9;LETLE13;2;37;790;M;6;0,5;4;11;0;25;37,71283333;18,919
2013002;9;LETLE13;1;36;760;F;6;0,5;4;12;0;25;37,71283333;18,919
2013002;10;LUTLU06;2;50;2050;M;5;12;4;24;0;27;37,7065;18,92116667
2013002;10;LUTLU06;1;41;930;F;1;2;4;22;0;27;37,7065;18,92116667
2013002;10;SEREP07;2;81;7900;F;1;26;0;304;0;27;37,7065;18,92116667
2013002;10;SEREP07;1;72;5910;F;1;21;0;187;0;27;37,7065;18,92116667
2013002;11;LUTLU06;2;44;1150;M;0;0;X;0;0;22;37,62733333;19,12883333
2013002;11;LUTLU06;1;40;850;M;0;0;X;0;0;22;37,62733333;19,12883333
2013002;14;LETLE13;1;31;480;F;0;0;X;0;0;15;37,66866667;18,94633333
2013002;14;LETLE13;2;36;480;F;0;0;X;0;0;15;37,66866667;18,94633333
2013002;14;SHACAB1;1;84;1430;M;2;12;0;60;0;15;37,66866667;18,94633333
2013002;17;LETLE13;1;33;670;F;4;7;1;7;0;0;37,71766667;18,9175
2013002;17;LUTLU06;0;43;1440;F;2;5;1;17;0;0;37,71766667;18,9175
