"";"survey";"area";"min";"max";"mean";"median"
"1";2012901;2;8324,04292322013;39814,2575364173;16659,4772016634;8324,04292322013
"2";2012901;5;11886,5677062987;46578,2114587801;34921,917868238;36779,849968166
"3";2012901;7;281,704997253337;74388,7766386301;41940,7343739699;48936,5046230339
"4";2013002;2;786,181157677754;26276,6307777676;18470,8044181498;23215,4710037327
"5";2013002;4;65,4246396293115;65112,7026397082;35182,133396025;63532,0047738009
"6";2013002;5;535,548468089397;46501,9187212262;18737,4199934471;19163,4660972938
"7";2013002;6;103666,382520067;103666,382520067;103666,382520067;103666,382520067
"8";2013005;1;17762,1468589522;47240,533458032;32939,9889837713;30242,1505157645
"9";2013005;2;1317,91110752444;75080,0942417413;36910,9431769436;35560,7753074154
"10";2013005;3;23394,8476290047;23394,8476290047;23394,8476290047;23394,8476290047
"11";2013005;4;759,02462011047;68037,4828754408;25498,9267101731;1529,42565595793
"12";2013005;5;17501,4382180826;46141,7718293214;41179,4796643319;46141,7718293214
"13";2013005;6;103436,299609545;103436,299609545;103436,299609545;103436,299609545
"14";2013005;7;1641,89088284223;1641,89088284223;1641,89088284223;1641,89088284223
