"";"survey";"area";"min";"max";"mean";"median"
"1";2012901;1;103,593035448661;49367,3522051435;19682,6477769382;27588,4059298268
"2";2012901;2;7,18223434472443;53289,5020703621;18167,7300867163;15255,7334103287
"3";2012901;3;61,685500081641;29900,8682754335;14775,8749223813;23108,5647598064
"4";2012901;4;165,103127302027;700,114122902831;469,729157150607;484,039489174864
"5";2012901;5;3,51254117426246;46318,661074917;18975,1383659716;22210,3665633156
"6";2012901;6;18,4485414711905;104228,437106096;49409,0018195981;39239,1910885277
"7";2012901;7;52,8160963115986;55561,5063732777;25328,2604043487;9961,9355372782
"8";2013002;1;17,2656541325347;31460,7304752032;15067,1336025319;24100,3754622575
"9";2013002;2;110,711744321531;48220,9527270615;20103,8533368329;18571,6520997701
"10";2013002;3;17,4266679727536;29750,9395401528;14040,2276038272;21021,8517138659
"11";2013002;4;122,515860214068;67026,2380415681;35934,496844334;63519,2336743025
"12";2013002;5;229,212341528799;46872,6535760723;21627,2840130351;20695,6240124606
"13";2013002;6;65,5645211088779;132911,300156278;47512,4771234499;29672,7816234922
"14";2013002;7;133,831446639183;58598,2501412857;27417,7296231781;40236,4583927776
"15";2013005;1;138,689268496249;32403,0337424787;14360,1139982862;24364,7227142119
"16";2013005;2;167,014977321004;73778,9999687967;25119,7894112518;24470,0166963475
"17";2013005;3;75,8337706019878;26676,9566484451;5456,84655813946;658,532406968022
"18";2013005;4;115,993761155981;65988,1770877931;33998,8829731003;63062,7736722347
"19";2013005;5;256,830042904577;47426,5852733363;21103,9111836483;20697,4430088205
"20";2013005;6;88,301834193295;105132,662720644;47572,1302655416;38899,1453348393
"21";2013005;7;124,693044308847;12432,9534445205;4902,93929707783;4830,92270156671
