"";"Sci_name";"2012901_GN";"2012901_TB";"2013002_GN";"2013002_TB";"2013005_GN";"2013005_TB";"sum";"fam_name"
"1";"Acanthurus gahhm";0;14;0;29;7;55;105;"ACANTHURIDAE"
"2";"Acanthurus nigrofuscus";0;0;0;18;0;0;18;"ACANTHURIDAE"
"3";"Albula glossodonta";0;0;0;0;8;0;8;"ALBULIDAE"
"4";"Alectis indicus";0;0;0;0;2;0;2;"CARANGIDAE"
"5";"Alepes vari";0;0;0;0;5;0;5;"CARANGIDAE"
"6";"Argyrops filamentosus";0;0;0;9;0;0;9;"SPARIDAE"
"7";"Argyrops sp.";0;25;0;0;0;0;25;"SPARIDAE"
"8";"Argyrops spinifer";0;0;0;9;0;10;19;"SPARIDAE"
"9";"Arius thalassinus";0;0;0;4;2;0;6;"ARIIDAE"
"10";"Auxis thazard";15;0;0;0;0;0;15;"SCOMBRIDAE"
"11";"Balistapus undulatus";0;0;0;0;0;2;2;"BALISTIDAE"
"12";"Balistoides viridescens";0;0;0;2;0;0;2;"BALISTIDAE"
"13";"Bothus pantherinus";0;0;0;0;2;0;2;"BOTHIDAE"
"14";"Caesio caerulaurea";0;0;17;0;0;0;17;"CAESIONIDAE"
"15";"Caesio suevica";0;0;0;0;2;0;2;"CAESIONIDAE"
"16";"Carangoides armatus";0;0;0;0;5;0;5;"CARANGIDAE"
"17";"Carangoides bajad";16;2;11;16;62;0;107;"CARANGIDAE"
"18";"Carangoides ferdau";0;0;0;2;9;0;11;"CARANGIDAE"
"19";"Carangoides fulvoguttatus";0;0;0;1;22;0;23;"CARANGIDAE"
"20";"Carangoides sp.";0;0;0;0;2;0;2;"CARANGIDAE"
"21";"Caranx ignobilis";0;0;0;2;2;0;4;"CARANGIDAE"
"22";"Caranx melampygus";3;0;0;2;8;0;13;"CARANGIDAE"
"23";"Caranx sexfasciatus";17;0;23;3;50;0;93;"CARANGIDAE"
"24";"Caranx sp.";0;0;0;0;2;0;2;"CARANGIDAE"
"25";"Carcharhinus albimarginatus";3;0;0;0;0;0;3;"Carcharhinidae"
"26";"Carcharhinus melanopterus";10;1;0;0;7;0;18;"Carcharhinidae"
"27";"Carcharhinus wheeleri";0;0;2;0;2;0;4;"Carcharhinidae"
"28";"Carlarius heudelotii";0;10;0;0;0;0;10;"ARIIDAE"
"29";"Cephalopholis argus";0;2;0;0;0;0;2;"SERRANIDAE"
"30";"Cephalopholis miniatus";0;0;0;0;2;0;2;"SERRANIDAE"
"31";"Cephaplpholis rogaa";0;4;0;17;0;2;23;"SERRANIDAE"
"32";"Chaetodon auriga";0;5;0;0;0;0;5;"CHAETODONTIDAE"
"33";"Chaetodon semilarvatus";0;0;17;3;0;0;20;"CHAETODONTIDAE"
"34";"Chanos chanos";0;0;0;0;2;0;2;"CHANIDAE"
"35";"Cheilinus lunulatus";0;0;0;2;0;0;2;"LABRIDAE"
"36";"Cheilinus quinquecintus";0;2;0;0;0;0;2;"LABRIDAE"
"37";"Chirocentrus dorab";19;0;20;0;65;0;104;"CHIROCENTRIDAE"
"38";"Cociella crocodilus";0;0;0;0;2;0;2;"PLATYCEPHALIDAE"
"39";"Crenimugil crenilabis";0;0;2;0;0;0;2;"MUGILIDAE"
"40";"Decapterus macarellus";0;0;2;0;0;0;2;"CARANGIDAE"
"41";"Decapterus russelli";0;0;2;5;0;0;7;"CARANGIDAE"
"42";"Diagramma pictum";0;2;0;0;0;0;2;"HAEMULIDAE"
"43";"Diodon hystrix";0;0;0;0;5;0;5;"DIODONTIDAE"
"44";"Echeneis naucrates";0;0;0;5;4;0;9;"ECHENEIDIDAE"
"45";"Elagatis bipinnulata";0;0;9;0;0;0;9;"CARANGIDAE"
"46";"Epinephelus chlorostigma";0;0;0;2;0;0;2;"SERRANIDAE"
"47";"Epinephelus fasciatus";0;0;0;2;0;2;4;"SERRANIDAE"
"48";"Epinephelus fuscoguttatus";0;12;0;16;2;4;34;"SERRANIDAE"
"49";"Epinephelus summana";0;0;3;2;0;0;5;"SERRANIDAE"
"50";"Epinephelus tauvina";2;21;7;8;6;4;48;"SERRANIDAE"
"51";"Euthynnus affinis";0;0;5;0;4;0;9;"SCOMBRIDAE"
"52";"FISTULARIIDAE";10;0;0;2;0;0;12;"FISTULARIIDAE"
"53";"Gerres oyena";0;0;2;0;8;0;10;"GERREIDAE"
"54";"Gnathonodon speciosus";0;0;0;0;5;0;5;"CARANGIDAE"
"55";"Grammatorcynus bilineatus";29;3;8;0;8;0;48;"SCOMBRIDAE"
"56";"Gymnocranius grandoculis";0;0;0;3;4;0;7;"LETHRINIDAE"
"57";"Gymnosarda unicolor";0;0;0;0;14;0;14;"SCOMBRIDAE"
"58";"Gymnothorax flavimarginatus";0;5;0;0;0;0;5;"MURAENIDAE"
"59";"Gymnothorax javanicus";0;54;1;23;0;2;80;"MURAENIDAE"
"60";"Hemirhamphus far";0;0;0;0;2;0;2;"HEMIRAMPHIDAE"
"61";"Hipposcarus harid";0;0;5;0;5;0;10;"SCARIDAE"
"62";"Katsuwonus pelamis";2;0;0;0;0;0;2;"SCOMBRIDAE"
"63";"Kyphosus vaigiensis";0;0;0;0;13;0;13;"KYPHOSIDAE"
"64";"Lethrinus elongatus ";0;17;2;29;8;8;64;"LETHRINIDAE"
"65";"Lethrinus harak";0;0;0;0;12;0;12;"LETHRINIDAE"
"66";"Lethrinus lentjan";4;53;7;73;42;39;218;"LETHRINIDAE"
"67";"Lethrinus mahsena";0;30;3;36;0;28;97;"LETHRINIDAE"
"68";"Lethrinus microdon ";0;0;2;0;0;0;2;"LETHRINIDAE"
"69";"Lethrinus nebulosus";0;0;0;0;0;2;2;"LETHRINIDAE"
"70";"Lethrinus obsoletus ";0;0;2;2;0;2;6;"LETHRINIDAE"
"71";"Lethrinus xanthochilus";0;0;0;3;0;2;5;"LETHRINIDAE"
"72";"Lutjanus argentimaculatus";0;0;0;2;0;2;4;"LUTJANIDAE"
"73";"Lutjanus bohar";0;58;16;118;5;15;212;"LUTJANIDAE"
"74";"Lutjanus ehrenbergii";8;0;15;0;10;0;33;"LUTJANIDAE"
"75";"Lutjanus fulviflamma";0;0;0;0;3;0;3;"LUTJANIDAE"
"76";"Lutjanus gibbus";0;55;0;80;5;48;188;"LUTJANIDAE"
"77";"Lutjanus kasmira";0;7;0;6;0;4;17;"LUTJANIDAE"
"78";"Lutjanus monostigma";3;8;0;6;0;2;19;"LUTJANIDAE"
"79";"Lutjanus rivulatus";0;0;0;2;0;0;2;"LUTJANIDAE"
"80";"Lutjanus sebae";0;0;0;2;0;0;2;"LUTJANIDAE"
"81";"Lutjanus sp.";0;2;0;0;0;0;2;"LUTJANIDAE"
"82";"Macolor niger";0;0;0;4;2;0;6;"LUTJANIDAE"
"83";"Monotaxis grandoculis";0;0;2;0;0;0;2;"LETHRINIDAE"
"84";"Mulloidichtys flavolineatus";0;0;2;0;0;0;2;"MULLIDAE"
"85";"Mulloidichtys vanicolensis";0;0;0;0;2;0;2;"MULLIDAE"
"86";"Myripristis murdjan";0;0;4;0;6;0;10;"HOLOCENTRIDAE"
"87";"Naso elegans";0;0;0;0;2;0;2;"ACANTHURIDAE"
"88";"Naso hexacanthus";0;0;19;19;38;0;76;"ACANTHURIDAE"
"89";"NO CATCH";5;0;7;0;0;0;12;"NO CATCH"
"90";"Paracaesio sordius";0;3;0;0;0;0;3;"LUTJANIDAE"
"91";"Pardarchius sp.";0;0;0;0;2;0;2;"SOLEIDAE"
"92";"Platax boersi";0;2;0;0;0;0;2;"EPHIPPIDAE"
"93";"Platax orbicularis";0;4;0;3;2;4;13;"EPHIPPIDAE"
"94";"Plectorhinchus gaterinus";0;11;2;0;5;0;18;"HAEMULIDAE"
"95";"Plectorhinchus pictus";0;0;0;0;2;0;2;"POMADASYIDAE (HAEMULIDAE)"
"96";"Plectrohinchus pictus";0;0;0;7;2;0;9;"HAEMULIDAE"
"97";"Plectropomus pessuliferus marisrubri";0;4;0;4;0;0;8;"SERRANIDAE"
"98";"Pletrohinchus schotaf";0;0;0;0;2;0;2;"HAEMULIDAE"
"99";"Priacanthus hamrur";0;0;6;0;0;0;6;"PRIACANTHIDAE"
"100";"Pristipomoides multidens";0;14;0;9;0;0;23;"LUTJANIDAE"
"101";"Pseudobalistes flavimarginatus";0;2;0;0;0;0;2;"BALISTIDAE"
"102";"Rastrelliger kanagurta";0;0;7;0;24;0;31;"SCOMBRIDAE"
"103";"Sarda orientalis";0;0;2;0;0;0;2;"SCOMBRIDAE"
"104";"Sargocentron rubrum";0;0;0;23;0;7;30;"HOLOCENTRIDAE"
"105";"Sargocentron spiniferum";0;24;2;26;2;10;64;"HOLOCENTRIDAE"
"106";"Scarus ferrugineus";0;0;2;0;0;0;2;"SCARIDAE"
"107";"Scarus frenatus";0;0;3;0;3;0;6;"SCARIDAE"
"108";"Scarus ghobban";0;0;0;0;2;0;2;"SCARIDAE"
"109";"Scomber australasicus";0;0;0;2;0;0;2;"SCOMBRIDAE"
"110";"Scomberoides lysan";17;21;66;25;53;0;182;"CARANGIDAE"
"111";"Scomberoides tol";0;0;5;0;77;0;82;"CARANGIDAE"
"112";"Scomberomorus commerson";39;0;0;0;12;0;51;"SCOMBRIDAE"
"113";"Siganus argenteus";0;0;4;0;0;0;4;"SIGANIDAE"
"114";"Siganus luridus";2;0;2;0;0;0;4;"SIGANIDAE"
"115";"Siganus rivulatus";0;0;0;0;2;0;2;"SIGANIDAE"
"116";"Siganus stellatus";0;0;2;0;0;3;5;"SIGANIDAE"
"117";"Sparus sp.";0;0;0;7;0;0;7;"SPARIDAE"
"118";"Sphyraena forsteri";0;0;2;0;0;0;2;"SPHYRAENIDAE"
"119";"Sphyraena jello";5;0;0;0;0;0;5;"SPHYRAENIDAE"
"120";"Sphyraena putnamae";0;0;0;0;2;0;2;"SPHYRAENIDAE"
"121";"Sphyraena qenie";0;0;8;0;7;0;15;"SPHYRAENIDAE"
"122";"Sphyrna lewini";2;0;0;0;0;0;2;"SPHYRNIDAE"
"123";"Taeniura lymma";0;0;0;0;2;0;2;"R A Y S"
"124";"Thunnus albacares";12;0;0;0;0;0;12;"SCOMBRIDAE"
"125";"Triaenodon obesus";0;5;0;17;0;0;22;"Carcharhinidae"
"126";"Tylosurus choram";3;0;8;0;0;0;11;"BELONIDAE"
"127";"Valamugil engeli";0;0;0;0;2;0;2;"MUGILIDAE"
"128";"Variola louti";0;0;0;4;0;0;4;"SERRANIDAE"
