"";"Sci_name";"2012901_GN";"2012901_TB";"2013002_GN";"2013002_TB";"2013005_GN";"2013005_TB";"sum";"fam_name"
"1";"Acanthurus gahhm";0;4;0;5;1;6;16;"ACANTHURIDAE"
"2";"Acanthurus nigrofuscus";0;0;0;6;0;0;6;"ACANTHURIDAE"
"3";"Albula glossodonta";0;0;0;0;3;0;3;"ALBULIDAE"
"4";"Alectis indicus";0;0;0;0;1;0;1;"CARANGIDAE"
"5";"Alepes vari";0;0;0;0;1;0;1;"CARANGIDAE"
"6";"Argyrops filamentosus";0;0;0;2;0;0;2;"SPARIDAE"
"7";"Argyrops sp.";0;5;0;0;0;0;5;"SPARIDAE"
"8";"Argyrops spinifer";0;0;0;3;0;5;8;"SPARIDAE"
"9";"Arius thalassinus";0;0;0;2;1;0;3;"ARIIDAE"
"10";"Auxis thazard";1;0;0;0;0;0;1;"SCOMBRIDAE"
"11";"Balistapus undulatus";0;0;0;0;0;1;1;"BALISTIDAE"
"12";"Balistoides viridescens";0;0;0;1;0;0;1;"BALISTIDAE"
"13";"Bothus pantherinus";0;0;0;0;1;0;1;"BOTHIDAE"
"14";"Caesio caerulaurea";0;0;2;0;0;0;2;"CAESIONIDAE"
"15";"Caesio suevica";0;0;0;0;1;0;1;"CAESIONIDAE"
"16";"Carangoides armatus";0;0;0;0;1;0;1;"CARANGIDAE"
"17";"Carangoides bajad";3;1;5;2;13;0;24;"CARANGIDAE"
"18";"Carangoides ferdau";0;0;0;1;2;0;3;"CARANGIDAE"
"19";"Carangoides fulvoguttatus";0;0;0;1;6;0;7;"CARANGIDAE"
"20";"Carangoides sp.";0;0;0;0;1;0;1;"CARANGIDAE"
"21";"Caranx ignobilis";0;0;0;1;1;0;2;"CARANGIDAE"
"22";"Caranx melampygus";1;0;0;1;2;0;4;"CARANGIDAE"
"23";"Caranx sexfasciatus";1;0;1;1;7;0;10;"CARANGIDAE"
"24";"Caranx sp.";0;0;0;0;1;0;1;"CARANGIDAE"
"25";"Carcharhinus albimarginatus";1;0;0;0;0;0;1;"Carcharhinidae"
"26";"Carcharhinus melanopterus";1;1;0;0;2;0;4;"Carcharhinidae"
"27";"Carcharhinus wheeleri";0;0;1;0;1;0;2;"Carcharhinidae"
"28";"Carlarius heudelotii";0;4;0;0;0;0;4;"ARIIDAE"
"29";"Cephalopholis argus";0;1;0;0;0;0;1;"SERRANIDAE"
"30";"Cephalopholis miniatus";0;0;0;0;1;0;1;"SERRANIDAE"
"31";"Cephaplpholis rogaa";0;2;0;7;0;1;10;"SERRANIDAE"
"32";"Chaetodon auriga";0;2;0;0;0;0;2;"CHAETODONTIDAE"
"33";"Chaetodon semilarvatus";0;0;1;1;0;0;2;"CHAETODONTIDAE"
"34";"Chanos chanos";0;0;0;0;1;0;1;"CHANIDAE"
"35";"Cheilinus lunulatus";0;0;0;1;0;0;1;"LABRIDAE"
"36";"Cheilinus quinquecintus";0;1;0;0;0;0;1;"LABRIDAE"
"37";"Chirocentrus dorab";4;0;3;0;5;0;12;"CHIROCENTRIDAE"
"38";"Cociella crocodilus";0;0;0;0;1;0;1;"PLATYCEPHALIDAE"
"39";"Crenimugil crenilabis";0;0;1;0;0;0;1;"MUGILIDAE"
"40";"Decapterus macarellus";0;0;1;0;0;0;1;"CARANGIDAE"
"41";"Decapterus russelli";0;0;1;1;0;0;2;"CARANGIDAE"
"42";"Diagramma pictum";0;1;0;0;0;0;1;"HAEMULIDAE"
"43";"Diodon hystrix";0;0;0;0;2;0;2;"DIODONTIDAE"
"44";"Echeneis naucrates";0;0;0;2;2;0;4;"ECHENEIDIDAE"
"45";"Elagatis bipinnulata";0;0;3;0;0;0;3;"CARANGIDAE"
"46";"Epinephelus chlorostigma";0;0;0;1;0;0;1;"SERRANIDAE"
"47";"Epinephelus fasciatus";0;0;0;1;0;1;2;"SERRANIDAE"
"48";"Epinephelus fuscoguttatus";0;5;0;9;1;2;17;"SERRANIDAE"
"49";"Epinephelus summana";0;0;1;1;0;0;2;"SERRANIDAE"
"50";"Epinephelus tauvina";1;10;3;4;3;2;23;"SERRANIDAE"
"51";"Euthynnus affinis";0;0;1;0;1;0;2;"SCOMBRIDAE"
"52";"FISTULARIIDAE";1;0;0;1;0;0;2;"FISTULARIIDAE"
"53";"Gerres oyena";0;0;1;0;2;0;3;"GERREIDAE"
"54";"Gnathonodon speciosus";0;0;0;0;1;0;1;"CARANGIDAE"
"55";"Grammatorcynus bilineatus";3;1;3;0;3;0;10;"SCOMBRIDAE"
"56";"Gymnocranius grandoculis";0;0;0;1;1;0;2;"LETHRINIDAE"
"57";"Gymnosarda unicolor";0;0;0;0;4;0;4;"SCOMBRIDAE"
"58";"Gymnothorax flavimarginatus";0;2;0;0;0;0;2;"MURAENIDAE"
"59";"Gymnothorax javanicus";0;26;1;12;0;1;40;"MURAENIDAE"
"60";"Hemirhamphus far";0;0;0;0;1;0;1;"HEMIRAMPHIDAE"
"61";"Hipposcarus harid";0;0;1;0;1;0;2;"SCARIDAE"
"62";"Katsuwonus pelamis";1;0;0;0;0;0;1;"SCOMBRIDAE"
"63";"Kyphosus vaigiensis";0;0;0;0;3;0;3;"KYPHOSIDAE"
"64";"Lethrinus elongatus ";0;7;1;12;1;3;24;"LETHRINIDAE"
"65";"Lethrinus harak";0;0;0;0;2;0;2;"LETHRINIDAE"
"66";"Lethrinus lentjan";1;16;1;26;5;11;60;"LETHRINIDAE"
"67";"Lethrinus mahsena";0;14;1;17;0;10;42;"LETHRINIDAE"
"68";"Lethrinus microdon ";0;0;1;0;0;0;1;"LETHRINIDAE"
"69";"Lethrinus nebulosus";0;0;0;0;0;1;1;"LETHRINIDAE"
"70";"Lethrinus obsoletus ";0;0;1;1;0;1;3;"LETHRINIDAE"
