"";"id";"survey";"Nsp";"NTraps";"Fhrs";"Species_by_NoStations";"Species_Hrs"
"1";1;"Survey 1: Nov. 2012";8;22;1057,983;0,363636363636364;0,00756155817248481
"2";1;"Survey 2: May 2013";10;29;559,661;0,344827586206897;0,0178679593539661
"3";1;"Survey 3: Nov. 2013";8;23;419,066;0,347826086956522;0,0190900717309445
"4";2;"Survey 1: Nov. 2012";18;54;1644,834;0,333333333333333;0,0109433535542188
"5";2;"Survey 2: May 2013";25;81;1930,658;0,308641975308642;0,0129489531548312
"6";2;"Survey 3: Nov. 2013";10;57;908,367;0,175438596491228;0,0110087662805892
"7";3;"Survey 1: Nov. 2012";9;26;517,282;0,346153846153846;0,0173986336273058
"8";3;"Survey 2: May 2013";18;32;792,277;0,5625;0,0227193267001314
"9";3;"Survey 3: Nov. 2013";3;9;162,116;0,333333333333333;0,0185052678329098
"10";4;"Survey 1: Nov. 2012";2;5;77,084;0,4;0,0259457215505163
"11";4;"Survey 2: May 2013";6;13;237,082;0,461538461538462;0,0253076994457614
"12";4;"Survey 3: Nov. 2013";6;16;279,233;0,375;0,0214874316431081
"13";5;"Survey 1: Nov. 2012";12;31;924,297;0,387096774193548;0,0129828399313208
"14";5;"Survey 2: May 2013";11;33;646,346;0,333333333333333;0,0170187484721805
"15";5;"Survey 3: Nov. 2013";6;30;526,681;0,2;0,011392095025262
"16";6;"Survey 1: Nov. 2012";14;36;1048,916;0,388888888888889;0,0133471126381903
"17";6;"Survey 2: May 2013";17;45;1296,025;0,377777777777778;0,0131170309214714
"18";6;"Survey 3: Nov. 2013";10;40;769,666;0,25;0,012992648759332
"19";7;"Survey 1: Nov. 2012";14;31;1010,181;0,451612903225806;0,01385890251351
"20";7;"Survey 2: May 2013";13;39;1008,191;0,333333333333333;0,0128943821160871
"21";7;"Survey 3: Nov. 2013";6;22;467,518;0,272727272727273;0,0128337304659928
