no;x1;x2;MaxLength;Trophic Level;Trophic group;Water column;Diel Activity;Habitat;Gregariousness;comments;Eo Comments
1;Abudefduf sordidus;Abudefduf sordidus;23;2,8;Planktivore;Demersal;Day;coral;3;no comment;no comment
2;Acanthopagrus berda;Acanthopagrus berda;90;3,5;Benthic invertivore;Demersal;#N/A;#N/A;#N/A;no comment;fishBase
3;Acanthurus nigricans;Acanthurus nigricans;21,3;2;Browsing herbivore;Demersal;Day;coral;1;no comment;no comment
4;Acanthurus nigricauda;Acanthurus nigricauda;40;3;Browsing herbivore;Demersal;Day;coral;1;no comment;no comment
5;Acanthurus sohal;Acanthurus sohal;40;2;Browsing herbivore;Demersal;Day;coral;1;no comment;no comment
7;Adioryx ruber;Sargocentron rubrum;32;3,5;Benthic invertivore;Demersal;Night;coral;2;Genus changed;no comment
8;Adioryx spinifer;Sargocentron spiniferum;51;3,5;Benthic invertivore;Demersal;Night;coral;1;Genus changed;no comment
9;Aethaloperca rogaa;Aethaloperca rogaa;60;4,2;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
11;Albula glossodonta;Albula glossodonta;90;3,3;Benthic invertivore;Demersal;Day;Sand;2;no comment;no comment
12;Albula vulpes;Albula vulpes;104;0;Benthic invertivore;benthic;Day;Sand;2;no comment;no comment
13;Alectis indicus;Alectis indicus;165;0;Higher carnivore;benthic;Day;rock;2;no comment;no comment
14;Alepes vari;Alepes vari;56;3,7;Higher carnivore;pelagic non-site attached;Day;Sand;3;no comment;no comment
15;Argyrops filamentosus;Argyrops filamentosus;70;3,5;Benthic invertivore;Demersal;#N/A;#N/A;#N/A;no comment;fishBase
16;Argyrops sp.;Argyrops sp.;70;4;Benthic invertivore;Demersal;#N/A;#N/A;#N/A;no comment;average
17;Argyrops spinifer;Argyrops spinifer;70;4,5;Benthic invertivore;Demersal;#N/A;#N/A;#N/A;no comment;FishBase
18;Arius heudelotii;Arius heudelotii;83;3,8;Benthic invertivore;Demersal;#N/A;#N/A;#N/A;no comment;FishBase
19;Arius thalassinus;Arius thalassinus;185;3,5;Higher carnivore;Demersal;#N/A;#N/A;#N/A;no comment;FishBase
20;Auxis thazard;Auxis thazard;65;4,4;Higher carnivore;pelagic non-site attached;Day;Sand;3;no comment;no comment
21;Balistapus undulatus;Balistapus undulatus;30;3,4;Benthic invertivore;Demersal;Day;coral;1;no comment;no comment
22;Balistoides viridescens;Balistoides viridescens;75;3,3;Benthic invertivore;Demersal;Day;coral;1;no comment;no comment
23;Bothus pantherinus;Bothus pantherinus;39;3,5;Higher carnivore;benthic;Day;coral;1;no comment;no comment
24;Caesio caerulaurea;Caesio caerulaurea;35;3,4;Planktivore;pelagic site attached;Day;coral;3;no comment;no comment
25;Caesio suevicus;Caesio suevica;35;3,4;Planktivore;pelagic site attached;Day;coral;3;no comment;no comment
26;Carangoides armatus;Carangoides armatus;58;4,2;Higher carnivore;Demersal;Day;Sand;2;no comment;no comment
27;Carangoides bajad;Carangoides bajad;55;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
28;Carangoides ferdau;Carangoides ferdau;70;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
29;Carangoides fulvoguttatus;Carangoides fulvoguttatus;120;4,4;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
30;Carangoides sp.;Carangoides sp.;75,75;4,4;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;average
31;Caranx (Caranx) melampygus;Caranx melampygus;117;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
32;Caranx (Caranx) sexfasciatus;Caranx sexfasciatus;120;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
33;Caranx (Gnathanodon) speciosus;Gnathanodon speciosus;120;3,8;Benthic invertivore;demersal;Day;coral;3;no comment;no comment
34;Caranx ignobilis;Caranx ignobilis;170;4,2;Higher carnivore;pelagic non-site attached;Day;coral;2;no comment;no comment
35;Caranx sp.;Caranx sp.;131,75;4,25;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;average
36;Carcharhinus albimarginatus;Carcharhinus albimarginatus;300;4,2;Higher carnivore;pelagic non-site attached;Day;coral;1;no comment;no comment
37;Carcharhinus melanopterus;Carcharhinus melanopterus;200;3,9;Higher carnivore;pelagic non-site attached;Day;coral;1;no comment;no comment
38;Carcharhinus wheeleri;Carcharhinus wheeleri;170;4,5;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;species-identification.org
39;Cephalopholis argus;Cephalopholis argus;60;4,5;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
40;Cephalopholis miniatus ?;Cephalopholis miniata;45;4,4;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
41;Cephalopholis oligosticta;Cephalopholis oligosticta;30;4,1;Higher carnivore;Demersal;#N/A;coral;#N/A;no comment;fishbase
42;Cephalopholus sexmaculata;Cephalopholis sexmaculata;50;4,5;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
43;Chaetodon auriga;Chaetodon auriga;23;3,2;Corallivore;Demersal;Day;coral;2;no comment;no comment
44;Chaetodon semilarvatus;Chaetodon semilarvatus;23;3,5;Benthic invertivore;Demersal;Day;coral;2;no comment;no comment
45;Chanos chanos;Chanos chanos;180;2;Browsing herbivore;pelagic non-site attached;Day;sand;2;no comment;no comment
