;x;x;MaxLength;Trophic Level;Trophic group;Water column;Diel Activity;Habitat;Gregariousness;comments
1;Abudefduf sordidus;Abudefduf sordidus;23;2,8;Planktivore;Demersal;Day;coral;3;
2;Acanthopagrus berda;Acanthopagrus berda;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
3;Acanthurus nigricans;Acanthurus nigricans;21,3;2;Browsing herbivore;Demersal;Day;coral;1;
4;Acanthurus nigricauda;Acanthurus nigricauda;40;3;Browsing herbivore;Demersal;Day;coral;1;
5;Acanthurus sohal;Acanthurus sohal;40;2;Browsing herbivore;Demersal;Day;coral;1;
6;Achirus sp. *;Achirus sp. *;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
7;Adioryx ruber;Sargocentron rubrum;32;3,5;Benthic invertivore;Demersal;Night;coral;2;Genus changed
8;Adioryx spinifer;Sargocentron spiniferum;51;3,5;Benthic invertivore;Demersal;Night;coral;1;Genus changed
9;Aethaloperca rogaa;Aethaloperca rogaa;60;4,2;Higher carnivore;Demersal;Day;coral;1;
10;Agnostomas telfeirii;Agnostomas telfeirii;;;;;;;;I do not know what this species is
11;Albula glossodonta;Albula glossodonta;90;3,3;Benthic invertivore;Demersal;Day;Sand;2;
12;Albula vulpes;Albula vulpes;104;0;Benthic invertivore;benthic;Day;Sand;2;
13;Alectis indicus;Alectis indicus;165;0;Higher carnivore;benthic;Day;rock;2;
14;Alepes vari;Alepes vari;56;3,7;Higher carnivore;pelagic non-site attached;Day;Sand;3;
15;Argyrops filamentosus;Argyrops filamentosus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
16;Argyrops sp.;Argyrops sp.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
17;Argyrops spinifer;Argyrops spinifer;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
18;Arius heudelotii;Arius heudelotii;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
19;Arius thalassinus;Arius thalassinus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
20;Auxis thazard;Auxis thazard;65;4,4;Higher carnivore;pelagic non-site attached;Day;Sand;3;
21;Balistapus undulatus;Balistapus undulatus;30;3,4;Benthic invertivore;Demersal;Day;coral;1;
22;Balistoides viridescens;Balistoides viridescens;75;3,3;Benthic invertivore;Demersal;Day;coral;1;
23;Bothus pantherinus;Bothus pantherinus;39;3,5;Higher carnivore;benthic;Day;coral;1;
24;Caesio caerulaurea;Caesio caerulaurea;35;3,4;Planktivore;pelagic site attached;Day;coral;3;
25;Caesio suevicus;Caesio suevica;35;3,4;Planktivore;pelagic site attached;Day;coral;3;
26;Carangoides armatus;Carangoides armatus;58;4,2;Higher carnivore;Demersal;Day;Sand;2;
27;Carangoides bajad;Carangoides bajad;55;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;
28;Carangoides ferdau;Carangoides ferdau;70;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;
29;Carangoides fulvoguttatus;Carangoides fulvoguttatus;120;4,4;Higher carnivore;pelagic non-site attached;Day;coral;2;
30;Carangoides sp.;Carangoides sp.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
31;Caranx (Caranx) melampygus;Caranx melampygus;117;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;
32;Caranx (Caranx) sexfasciatus;Caranx sexfasciatus;120;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;
33;Caranx (Gnathanodon) speciosus;Gnathanodon speciosus;120;3,8;Benthic invertivore;pelagic non-site attached;Day;coral;3;
34;Caranx ignobilis;Caranx ignobilis;170;4,2;Higher carnivore;pelagic non-site attached;Day;coral;2;
35;Caranx sp.;Caranx sp.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
36;Carcharhinus albimarginatus;Carcharhinus albimarginatus;300;4,2;Higher carnivore;pelagic non-site attached;Day;coral;1;
37;Carcharhinus melanopterus;Carcharhinus melanopterus;200;3,9;Higher carnivore;pelagic non-site attached;Day;coral;1;
38;Carcharhinus wheeleri;Carcharhinus wheeleri;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
39;Cephalopholis argus;Cephalopholis argus;60;4,5;Higher carnivore;Demersal;Day;coral;1;
40;Cephalopholis miniatus ?;Cephalopholis miniata;45;4,4;Higher carnivore;Demersal;Day;coral;1;
41;Cephalopholis oligosticta;Cephalopholis oligosticta;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
42;Cephalopholus sexmaculata;Cephalopholis sexmaculata;50;4,5;Higher carnivore;Demersal;Day;coral;1;
43;Chaetodon auriga;Chaetodon auriga;23;3,2;Corallivore;Demersal;Day;coral;2;
44;Chaetodon semilarvatus;Chaetodon semilarvatus;23;3,5;Benthic invertivore;Demersal;Day;coral;2;
45;Chanos chanos;Chanos chanos;180;2;Browsing herbivore;pelagic non-site attached;Day;sand;2;
46;Cheilinus lunulatus;Cheilinus lunulatus;50;3,6;Benthic invertivore;Demersal;Day;coral;1;
47;Cheilinus quinquecintus;Cheilinus fasciatus;40;3,4;Benthic invertivore;Demersal;Day;coral;1;Cheilinus quinquecinctus has been grouped back in as C. fasciatus
48;Chirocentrus dorab;Chirocentrus dorab;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
49;Chorinemus lysan;Scomberoides lysan;110;4,5;Higher carnivore;pelagic non-site attached;Day;coral;2;Genus changed
50;Cociella crocodila;Cociella crocodilus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
51;Crenimugil crenilabis;Crenimugil crenilabis;60;2,3;Browsing herbivore;pelagic site attached;Day;sand;3;
52;Decapterus macarellus;Decapterus macarellus;46;3,4;Higher carnivore;pelagic non-site attached;Day;coral;3;
53;Decapterus russelli;Decapterus russelli;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
54;Diagramma pictum;Diagramma pictum;90;3,6;Benthic invertivore;Demersal;Night;coral;1;
55;Diodon hystrix;Diodon hystrix;91;3,4;Benthic invertivore;Demersal;Day;coral;1;
56;Echeneis naucrates;Echeneis naucrates;110;3,4;Higher carnivore;pelagic non-site attached;Day;coral;2;
57;Elagatis bipinnulata;Elagatis bipinnulata;180;3,6;Higher carnivore;pelagic non-site attached;Day;coral;3;
58;Epinephelus chlorostigma;Epinephelus chlorostigma;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
59;Epinephelus fuscoguttatus;Epinephelus fuscoguttatus;120;4,1;Higher carnivore;Demersal;Day;coral;1;
60;Epinephelus microdon;Epinephelus polyphekadion;90;3,9;Higher carnivore;Demersal;Day;coral;1;changed
61;Epinephelus sexfasciatus;Epinephelus sexfasciatus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
62;Epinephelus summana;Epinephelus summana;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
63;Epinephelus tauvina;Epinephelus tauvina;75;4,1;Higher carnivore;Demersal;Day;coral;1;
64;Euthynnus affinis;Euthynnus affinis;100;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;
65;FISHJUV;FISHJUV;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
66;Gerres oyena;Gerres oyena;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
67;Grammatorcynus bicarinatus;Grammatorcynus bicarinatus;112;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;
68;Grammatorcynus bilineatus;Grammatorcynus bilineatus;100;4,2;Higher carnivore;pelagic non-site attached;Day;coral;2;
69;Gymnocranius grandoculis;Gymnocranius grandoculis;80;3,8;Benthic invertivore;Demersal;Day;sand;1;
70;Gymnocranius microdon;Gymnocranius microdon;45;3,4;Benthic invertivore;Demersal;Day;sand;1;
71;Gymnocranius robinsoni;Gymnocranius grandoculis;80;3,8;Benthic invertivore;Demersal;Day;sand;1;now G. grandoculis
72;Gymnosarda unicolor;Gymnosarda unicolor;248;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;
73;Gymnothorax flavimarginatus;Gymnothorax flavimarginatus;240;4,2;Benthic invertivore;benthic;Night;coral;1;
